timestamp_utc,item_id,item_name,region,min_unit_price_copper,total_quantity,num_auctions
2026-07-13T12:25:02+00:00,243605,Dawn Crystal,eu,4910200,11775,326
2026-07-13T12:25:02+00:00,243606,Dawn Crystal,eu,5990000,17690,882
2026-07-13T19:12:02+00:00,243605,Dawn Crystal,eu,4505000,5549,718
2026-07-13T19:12:02+00:00,243606,Dawn Crystal,eu,6193600,11840,600
2026-07-14T11:16:16+00:00,243605,Dawn Crystal,eu,4908000,6422,273
2026-07-14T11:16:16+00:00,243606,Dawn Crystal,eu,6101000,4636,356
2026-07-14T19:02:31+00:00,243605,Dawn Crystal,eu,4619600,4711,645
2026-07-14T19:02:31+00:00,243606,Dawn Crystal,eu,6118700,11296,440
2026-07-15T11:20:08+00:00,243605,Dawn Crystal,eu,4649900,4663,531
2026-07-15T11:20:08+00:00,243606,Dawn Crystal,eu,5787800,4571,662
2026-07-15T18:55:07+00:00,243605,Dawn Crystal,eu,3719600,6158,828
2026-07-15T18:55:07+00:00,243606,Dawn Crystal,eu,6029000,12872,1059
2026-07-16T11:25:33+00:00,243605,Dawn Crystal,eu,4400000,4601,739
2026-07-16T11:25:33+00:00,243606,Dawn Crystal,eu,5890000,7073,1049
2026-07-16T18:55:49+00:00,243605,Dawn Crystal,eu,4194300,6079,962
2026-07-16T18:55:49+00:00,243606,Dawn Crystal,eu,5831700,8444,1002
2026-07-17T11:13:20+00:00,243605,Dawn Crystal,eu,4351300,2304,231
2026-07-17T11:13:20+00:00,243606,Dawn Crystal,eu,5484600,5761,809
2026-07-17T18:52:52+00:00,243605,Dawn Crystal,eu,4250000,5353,388
2026-07-17T18:52:52+00:00,243606,Dawn Crystal,eu,5779900,6934,564
2026-07-18T10:54:56+00:00,243605,Dawn Crystal,eu,4149800,4586,464
2026-07-18T10:54:56+00:00,243606,Dawn Crystal,eu,5147000,7417,1172
2026-07-18T18:46:24+00:00,243605,Dawn Crystal,eu,4175500,7403,615
2026-07-18T18:46:24+00:00,243606,Dawn Crystal,eu,5441300,5681,827
2026-07-19T11:02:47+00:00,243605,Dawn Crystal,eu,4302900,5348,240
